v1,two_yr_recidivism,number_of_priors,age_above_fourtyfive,age_below_twentyfive,female,misdemeanor,ethnicity,probability,predicted,recidivism
2102,no,-.0519493,yes,no,Male,yes,African_American,.32649747,0,0
6123,no,.36965632,yes,no,Male,yes,African_American,.38590506,0,0
1146,no,-.47355494,no,no,Male,yes,African_American,.40616393,0,0
5652,no,-.47355494,no,no,Female,no,African_American,.37811416,0,0
5731,no,-.68435776,no,no,Male,no,African_American,.40647036,0,0
2653,no,-.47355494,yes,no,Male,no,African_American,.3041645,0,0
527,no,-.68435776,no,yes,Female,yes,African_American,.45164365,0,0
3780,yes,-.0519493,no,no,Male,yes,African_American,.48839751,0,1
981,no,-.26275212,no,no,Female,no,African_American,.41289917,0,0
3673,no,.58045918,yes,no,Female,no,African_American,.41930845,0,0
6166,yes,-.68435776,no,no,Male,yes,African_American,.35147047,0,1
1916,no,-.47355494,no,no,Male,no,African_American,.44663948,0,0
1026,yes,-.68435776,no,no,Male,yes,African_American,.36721933,0,1
4383,no,.15885352,no,no,Female,no,African_American,.49863985,0,0
2863,no,.15885352,yes,no,Female,no,African_American,.33032426,0,0
2874,no,-.47355494,yes,no,Male,yes,African_American,.25528476,0,0
225,no,-.26275212,no,no,Female,no,African_American,.39461985,0,0
4794,no,-.47355494,no,no,Male,no,African_American,.4559094,0,0
3059,no,-.68435776,no,no,Male,yes,African_American,.35147047,0,0
4102,no,-.68435776,no,no,Male,no,African_American,.41936269,0,0
4031,no,-.47355494,no,no,Male,no,African_American,.44663948,0,0
6160,yes,-.68435776,no,yes,Female,yes,African_American,.45164365,0,1
648,no,-.68435776,yes,no,Female,no,African_American,.20911296,0,0
5033,yes,-.26275212,no,no,Male,no,African_American,.49370551,0,1
4649,no,-.68435776,yes,no,Male,no,African_American,.24896234,0,0
895,no,-.68435776,no,no,Female,no,African_American,.33213472,0,0
1511,no,-.68435776,yes,no,Male,yes,African_American,.21801344,0,0
2961,yes,-.47355494,no,no,Male,yes,African_American,.40616393,0,1
2261,no,-.68435776,no,no,Male,no,African_American,.4081226,0,0
5183,no,-.68435776,no,no,Female,no,African_American,.34031779,0,0
3441,no,-.68435776,no,no,Male,yes,African_American,.36721933,0,0
5429,no,-.68435776,no,no,Female,yes,African_American,.27555704,0,0
5291,no,-.47355494,no,no,Male,no,African_American,.4559094,0,0
2311,yes,-.68435776,no,yes,Female,yes,African_American,.45164365,0,1
858,no,-.68435776,no,no,Male,no,African_American,.41936269,0,0
1886,no,-.47355494,yes,no,Female,no,African_American,.24055715,0,0
5495,no,-.26275212,yes,no,Male,yes,African_American,.30392489,0,0
4350,yes,-.68435776,no,no,Male,no,African_American,.41522026,0,1
2257,no,-.68435776,no,no,Female,yes,African_American,.27832747,0,0
5467,no,-.0519493,no,no,Male,yes,African_American,.46880352,0,0
4145,no,-.26275212,yes,no,Male,no,African_American,.33360961,0,0
3928,yes,.15885352,yes,no,Male,no,African_American,.42800331,0,1
3919,yes,-.26275212,no,no,Male,no,African_American,.49370551,0,1
5569,no,-.68435776,yes,no,Male,yes,African_American,.22375812,0,0
3950,no,-.68435776,no,no,Male,no,African_American,.41522026,0,0
1832,no,-.68435776,no,no,Male,no,African_American,.41739079,0,0
5158,yes,-.26275212,yes,no,Male,no,African_American,.33961731,0,1
1700,no,-.47355494,no,no,Female,yes,African_American,.34003264,0,0
4893,no,-.47355494,no,no,Female,yes,African_American,.31211957,0,0
5081,no,-.68435776,no,no,Male,yes,African_American,.36721933,0,0
4550,no,-.68435776,no,yes,Female,yes,African_American,.44525382,0,0
3212,no,-.0519493,yes,no,Male,no,African_American,.38802853,0,0
3815,yes,.36965632,yes,no,Male,no,African_American,.45708701,0,1
4494,no,-.26275212,yes,no,Male,yes,African_American,.29575491,0,0
2635,no,.58045918,yes,no,Male,no,African_American,.48881826,0,0
2704,yes,-.68435776,no,no,Female,no,African_American,.33213472,0,1
1777,no,-.26275212,no,no,Male,no,African_American,.49992475,0,0
1898,no,-.68435776,yes,no,Male,yes,African_American,.22375812,0,0
1912,yes,-.26275212,no,no,Male,no,African_American,.48751763,0,1
5661,no,-.68435776,no,no,Male,no,African_American,.41522026,0,0
1547,no,-.26275212,no,no,Male,no,African_American,.48751763,0,0
1118,no,-.68435776,no,no,Male,yes,African_American,.36044151,0,0
2716,yes,-.26275212,no,no,Male,no,African_American,.48751763,0,1
4291,yes,-.68435776,yes,no,Male,no,African_American,.26144788,0,1
1956,no,-.26275212,no,no,Male,no,African_American,.48751763,0,0
3519,no,-.0519493,yes,no,Male,yes,African_American,.30638412,0,0
3005,yes,-.68435776,no,no,Male,yes,African_American,.35147047,0,1
3442,no,-.47355494,no,no,Male,yes,African_American,.40616393,0,0
5714,no,-.68435776,no,no,Female,yes,African_American,.27832747,0,0
5125,yes,-.68435776,no,no,Male,no,African_American,.41936269,0,1
2213,no,-.68435776,no,no,Male,no,African_American,.41739079,0,0
785,yes,-.0519493,yes,no,Male,no,African_American,.37696376,0,1
4375,no,-.26275212,no,no,Male,no,African_American,.49992475,0,0
5942,yes,-.0519493,yes,no,Male,yes,African_American,.33108601,0,1
5597,yes,-.26275212,no,no,Female,no,African_American,.41289917,0,1
2282,no,-.26275212,no,no,Male,yes,African_American,.44470337,0,0
3325,yes,-.68435776,no,no,Male,yes,African_American,.36721933,0,1
1016,no,-.68435776,no,no,Male,yes,African_American,.35147047,0,0
4013,no,-.47355494,no,no,Female,no,African_American,.37162089,0,0
1379,no,-.47355494,no,no,Male,no,African_American,.45054832,0,0
1586,no,-.0519493,yes,no,Female,yes,African_American,.27158821,0,0
301,no,-.26275212,no,no,Male,yes,African_American,.44632554,0,0
2326,yes,-.68435776,yes,no,Male,yes,African_American,.23214626,0,1
4271,yes,-.47355494,yes,no,Male,yes,African_American,.27006724,0,1
1486,no,-.68435776,no,no,Female,no,African_American,.3188324,0,0
6120,no,-.68435776,no,no,Male,yes,African_American,.36044151,0,0
2670,no,-.68435776,no,no,Male,no,African_American,.4081226,0,0
4995,yes,-.68435776,no,no,Male,no,African_American,.40647036,0,1
2679,yes,-.68435776,no,no,Male,no,African_American,.4081226,0,1
2954,yes,-.68435776,no,no,Male,no,African_American,.40647036,0,1
1545,no,-.68435776,no,no,Male,no,African_American,.40647036,0,0
5022,no,-.68435776,yes,no,Female,yes,African_American,.16555378,0,0
6164,no,-.26275212,no,no,Male,yes,African_American,.44554615,0,0
4404,yes,-.26275212,no,no,Female,no,African_American,.41289917,0,1
4517,no,-.68435776,yes,no,Female,no,African_American,.203385,0,0
2252,no,-.68435776,yes,no,Male,yes,African_American,.23214626,0,0
1962,no,-.26275212,no,no,Male,yes,African_American,.44554615,0,0
4564,no,-.26275212,no,no,Male,no,African_American,.49992475,0,0
2309,no,-.0519493,no,no,Female,no,African_American,.43479121,0,0
5823,no,-.68435776,no,no,Male,yes,African_American,.36721933,0,0
1683,no,-.47355494,no,no,Male,no,African_American,.44663948,0,0
365,no,-.26275212,no,no,Male,no,African_American,.49370551,0,0
3022,no,-.26275212,no,no,Male,yes,African_American,.44470337,0,0
5331,no,-.47355494,no,no,Male,no,African_American,.4559094,0,0
5016,yes,-.47355494,no,no,Male,no,African_American,.4559094,0,1
743,no,.15885352,no,no,Female,no,African_American,.48818523,0,0
2569,no,-.26275212,no,no,Male,no,African_American,.48751763,0,0
3579,no,-.47355494,yes,no,Male,no,African_American,.3041645,0,0
4021,yes,-.26275212,no,no,Male,no,African_American,.49370551,0,1
2367,no,-.26275212,no,no,Male,yes,African_American,.44554615,0,0
542,yes,.15885352,yes,no,Female,no,African_American,.3062036,0,1
5185,yes,-.47355494,no,no,Male,no,African_American,.44663948,0,1
4283,no,-.68435776,no,no,Male,no,African_American,.40647036,0,0
5923,no,-.47355494,no,no,Female,no,African_American,.36024567,0,0
4797,no,-.68435776,no,no,Male,no,African_American,.40647036,0,0
3076,no,-.68435776,yes,no,Male,no,African_American,.26144788,0,0
2550,yes,-.68435776,no,no,Female,no,African_American,.33948693,0,1
3198,yes,-.47355494,no,no,Male,yes,African_American,.3893519,0,1
3819,no,-.68435776,no,no,Male,no,African_American,.40647036,0,0
1707,no,.15885352,no,no,Female,yes,African_American,.42868397,0,0
4766,no,-.26275212,no,no,Male,no,African_American,.49992475,0,0
4796,no,-.47355494,no,no,Male,no,African_American,.45937833,0,0
3699,no,-.47355494,yes,no,Male,no,African_American,.3128528,0,0
1677,yes,.15885352,yes,no,Male,no,African_American,.4145101,0,1
126,yes,-.68435776,no,no,Female,no,African_American,.34031779,0,1
1562,no,-.47355494,no,no,Male,no,African_American,.44663948,0,0
2817,no,-.47355494,yes,no,Female,no,African_American,.23290242,0,0
2435,yes,-.0519493,no,no,Female,yes,African_American,.38629827,0,1
5206,no,-.68435776,no,no,Female,no,African_American,.33948693,0,0
3592,no,-.26275212,no,no,Female,no,African_American,.39461985,0,0
5987,no,.15885352,yes,no,Female,yes,African_American,.27542016,0,0
1167,no,-.68435776,no,no,Male,yes,African_American,.36721933,0,0
4207,no,-.47355494,no,no,Female,yes,African_American,.31211957,0,0
3632,yes,-.47355494,no,no,Male,no,African_American,.46062744,0,1
189,no,-.26275212,no,no,Female,no,African_American,.41289917,0,0
5834,no,-.47355494,yes,no,Male,yes,African_American,.23713851,0,0
3545,yes,-.26275212,no,no,Male,yes,African_American,.44259894,0,1
2242,no,-.68435776,no,no,Male,yes,African_American,.36588952,0,0
2320,no,-.68435776,yes,no,Male,no,African_American,.26295942,0,0
1141,no,-.26275212,no,no,Male,yes,African_American,.44554615,0,0
3904,yes,-.68435776,no,no,Male,yes,African_American,.36044151,0,1
5624,yes,.79126197,yes,no,Male,yes,African_American,.48850083,0,1
754,no,-.47355494,no,no,Male,no,African_American,.46062744,0,0
3953,yes,-.68435776,no,no,Male,yes,African_American,.36044151,0,1
5509,yes,-.26275212,no,no,Male,no,African_American,.49719575,0,1
2719,no,-.0519493,no,no,Female,no,African_American,.44449356,0,0
823,yes,.15885352,yes,no,Male,yes,African_American,.34492967,0,1
3448,no,-.47355494,no,no,Female,no,African_American,.37811416,0,0
5002,no,-.68435776,no,no,Male,yes,African_American,.35958323,0,0
3437,no,-.68435776,no,no,Female,yes,African_American,.28823176,0,0
37,no,-.26275212,yes,no,Male,yes,African_American,.2895962,0,0
1504,no,-.47355494,no,no,Male,no,African_American,.45937833,0,0
1462,no,-.47355494,yes,no,Male,no,African_American,.29601955,0,0
230,no,-.68435776,yes,no,Female,no,African_American,.203385,0,0
5861,no,-.68435776,no,no,Female,no,African_American,.3188324,0,0
2566,yes,-.68435776,yes,no,Male,yes,African_American,.22375812,0,1
3998,no,-.0519493,no,no,Male,yes,African_American,.48720026,0,0
3994,no,-.68435776,no,no,Female,no,African_American,.34031779,0,0
1170,no,-.26275212,no,no,Male,no,African_American,.48751763,0,0
1211,no,-.68435776,no,no,Male,yes,African_American,.36721933,0,0
1473,yes,-.68435776,yes,no,Male,no,African_American,.26295942,0,1
3239,no,-.68435776,no,no,Male,no,African_American,.4081226,0,0
4670,no,-.26275212,no,no,Male,no,African_American,.49719575,0,0
4860,no,-.47355494,no,no,Male,no,African_American,.44663948,0,0
467,no,.58045918,yes,no,Male,no,African_American,.49629459,0,0
2937,no,-.68435776,no,no,Male,yes,African_American,.35958323,0,0
1642,no,-.68435776,no,no,Male,no,African_American,.41522026,0,0
2901,no,-.68435776,yes,no,Male,no,African_American,.27839833,0,0
5654,yes,.36965632,yes,no,Male,no,African_American,.46894062,0,1
5622,no,-.68435776,yes,no,Female,no,African_American,.20275933,0,0
4107,no,-.68435776,no,no,Male,yes,African_American,.36044151,0,0
2169,no,-.68435776,no,no,Male,yes,African_American,.36044151,0,0
3018,no,-.26275212,no,no,Female,yes,African_American,.3641412,0,0
4122,no,-.68435776,no,no,Female,no,African_American,.33213472,0,0
3734,no,-.68435776,no,no,Male,no,African_American,.41739079,0,0
4493,yes,-.47355494,no,no,Female,no,African_American,.37682724,0,1
4150,no,-.26275212,no,no,Female,yes,African_American,.34628725,0,0
253,no,-.68435776,no,yes,Female,yes,African_American,.47401428,0,0
3778,yes,-.47355494,no,no,Female,no,African_American,.37162089,0,1
2108,no,-.47355494,no,no,Female,yes,African_American,.30698502,0,0
5528,yes,-.47355494,yes,no,Male,yes,African_American,.25528476,0,1
5696,no,-.47355494,no,no,Male,yes,African_American,.40037635,0,0
4812,no,-.26275212,no,no,Male,yes,African_American,.44259894,0,0
5761,no,-.47355494,no,no,Male,no,African_American,.44663948,0,0
1424,no,-.68435776,yes,no,Male,no,African_American,.26144788,0,0
1271,yes,-.47355494,no,no,Male,no,African_American,.46062744,0,1
4848,no,-.68435776,no,no,Male,no,African_American,.4081226,0,0
1694,no,-.26275212,no,no,Male,no,African_American,.48751763,0,0
3278,yes,-.68435776,no,no,Male,no,African_American,.41739079,0,1
637,no,-.68435776,no,no,Female,no,African_American,.34031779,0,0
114,no,-.68435776,no,yes,Female,yes,African_American,.44525382,0,0
3630,no,-.68435776,no,no,Female,yes,African_American,.27832747,0,0
5070,yes,-.0519493,no,no,Male,yes,African_American,.48673356,0,1
3617,no,-.47355494,yes,no,Female,no,African_American,.24055715,0,0
323,no,-.26275212,no,no,Male,no,African_American,.49719575,0,0
5676,yes,-.26275212,no,no,Male,no,African_American,.49992475,0,1
4946,no,-.68435776,no,no,Male,no,African_American,.4081226,0,0
6103,no,.15885352,yes,no,Male,no,African_American,.40772679,0,0
501,no,-.68435776,no,no,Male,yes,African_American,.35958323,0,0
4137,no,-.68435776,no,no,Female,no,African_American,.3188324,0,0
510,no,-.68435776,no,no,Male,no,African_American,.41739079,0,0
3261,no,-.68435776,no,no,Female,yes,African_American,.30418095,0,0
669,no,-.0519493,no,no,Female,no,African_American,.45786911,0,0
3510,no,-.68435776,no,no,Female,no,African_American,.34031779,0,0
4926,no,-.26275212,no,no,Male,no,African_American,.49370551,0,0
3864,no,-.68435776,no,no,Male,no,African_American,.40647036,0,0
5432,no,.15885352,yes,no,Male,no,African_American,.40096465,0,0
3312,no,-.26275212,no,no,Male,no,African_American,.49719575,0,0
69,yes,-.47355494,no,no,Female,no,African_American,.37811416,0,1
2848,no,-.68435776,no,no,Male,yes,African_American,.35958323,0,0
1418,no,-.68435776,no,no,Female,yes,African_American,.28823176,0,0
781,no,-.68435776,no,no,Male,yes,African_American,.36588952,0,0
4055,no,-.68435776,no,yes,Female,yes,African_American,.47401428,0,0
1634,no,.36965632,yes,no,Male,yes,African_American,.40672591,0,0
5720,no,-.68435776,no,no,Male,no,African_American,.41739079,0,0
4509,yes,-.47355494,no,no,Male,no,African_American,.46062744,0,1
5439,no,-.26275212,no,no,Male,yes,African_American,.44554615,0,0
44,no,-.68435776,no,no,Male,no,African_American,.41739079,0,0
538,no,-.68435776,no,no,Male,no,African_American,.40647036,0,0
4593,yes,-.68435776,no,yes,Female,yes,African_American,.45164365,0,1
1705,no,-.47355494,yes,no,Male,no,African_American,.2832337,0,0
4792,no,-.68435776,no,no,Female,yes,African_American,.27092603,0,0
4881,no,-.68435776,no,no,Male,no,African_American,.40647036,0,0
5969,no,-.68435776,no,no,Male,no,African_American,.41739079,0,0
324,no,-.26275212,yes,no,Male,no,African_American,.33360961,0,0
3887,no,-.68435776,no,no,Female,no,African_American,.34031779,0,0
5561,no,-.47355494,no,no,Male,yes,African_American,.40509328,0,0
1426,no,-.47355494,yes,no,Male,yes,African_American,.23713851,0,0
5441,no,-.26275212,no,no,Male,no,African_American,.49992475,0,0
2542,yes,-.26275212,no,no,Male,yes,African_American,.44470337,0,1
5671,no,-.47355494,yes,no,Female,no,African_American,.23084742,0,0
1658,no,-.26275212,no,no,Male,yes,African_American,.42861781,0,0
4497,no,-.26275212,no,no,Male,no,African_American,.48751763,0,0
2555,yes,-.68435776,yes,no,Male,no,African_American,.27839833,0,1
5320,no,-.47355494,no,no,Male,no,African_American,.45937833,0,0
3421,yes,-.68435776,no,no,Male,yes,African_American,.36044151,0,1
3521,yes,-.47355494,no,no,Male,yes,African_American,.40616393,0,1
2931,no,-.68435776,no,no,Male,yes,African_American,.36044151,0,0
1197,no,-.68435776,no,no,Female,yes,African_American,.30418095,0,0
3294,no,-.68435776,no,no,Male,no,African_American,.41522026,0,0
1456,no,.58045918,yes,no,Male,no,African_American,.49629459,0,0
2419,no,-.68435776,no,no,Male,no,African_American,.4081226,0,0
5819,yes,-.0519493,no,no,Male,yes,African_American,.46880352,0,1
5797,no,-.68435776,no,yes,Female,yes,African_American,.43437764,0,0
1035,no,-.68435776,no,no,Male,yes,African_American,.36721933,0,0
908,no,-.26275212,no,no,Male,no,African_American,.49370551,0,0
1671,yes,.36965632,yes,no,Male,no,African_American,.45708701,0,1
6135,no,-.47355494,no,no,Male,yes,African_American,.3893519,0,0
4423,no,-.68435776,no,no,Female,no,African_American,.32082683,0,0
6153,no,-.47355494,no,no,Male,no,African_American,.45054832,0,0
4568,no,-.47355494,yes,no,Male,no,African_American,.3128528,0,0
2501,yes,-.68435776,no,no,Male,yes,African_American,.35147047,0,1
39,no,.79126197,yes,no,Female,no,African_American,.44771549,0,0
3767,yes,-.26275212,no,no,Male,no,African_American,.48751763,0,1
6021,no,-.47355494,yes,no,Male,no,African_American,.3128528,0,0
3136,no,-.68435776,no,no,Male,no,African_American,.41739079,0,0
3453,no,-.47355494,yes,no,Female,no,African_American,.20669584,0,0
5435,no,-.68435776,no,no,Male,no,African_American,.41936269,0,0
5602,yes,-.68435776,no,yes,Female,yes,African_American,.44525382,0,1
4249,no,-.47355494,no,no,Male,no,African_American,.46062744,0,0
3565,no,-.26275212,yes,no,Male,no,African_American,.33136743,0,0
662,no,.15885352,no,no,Female,no,African_American,.47583765,0,0
2598,no,-.68435776,no,no,Male,no,African_American,.41739079,0,0
3713,yes,-.68435776,no,no,Male,no,African_American,.40647036,0,1
3896,no,-.68435776,no,no,Male,no,African_American,.40647036,0,0
4222,yes,-.68435776,no,no,Male,yes,African_American,.36721933,0,1
4733,no,-.68435776,no,yes,Female,yes,African_American,.43437764,0,0
1901,yes,-.0519493,yes,no,Male,yes,African_American,.31224442,0,1
2446,yes,-.0519493,no,no,Male,yes,African_American,.48839751,0,1
2121,yes,-.47355494,no,no,Male,no,African_American,.44663948,0,1
5378,yes,-.68435776,yes,no,Female,no,African_American,.20911296,0,1
4840,no,-.47355494,no,no,Male,no,African_American,.44663948,0,0
1046,yes,-.68435776,no,no,Male,yes,African_American,.36721933,0,1
1876,no,-.47355494,no,no,Male,no,African_American,.45054832,0,0
2128,no,-.68435776,no,no,Male,yes,African_American,.35958323,0,0
604,no,-.68435776,yes,no,Male,yes,African_American,.21801344,0,0
5841,no,-.26275212,yes,no,Male,no,African_American,.32021135,0,0
1210,yes,-.47355494,no,no,Female,no,African_American,.36024567,0,1
4257,no,-.26275212,no,no,Female,yes,African_American,.3641412,0,0
3625,no,-.68435776,no,yes,Female,yes,African_American,.47401428,0,0
1710,no,-.26275212,no,no,Male,yes,African_American,.44470337,0,0
3293,no,-.68435776,no,no,Male,no,African_American,.41522026,0,0
1601,no,-.68435776,no,no,Male,no,African_American,.4081226,0,0
5974,yes,-.0519493,no,no,Male,yes,African_American,.48839751,0,1
3839,no,.15885352,no,no,Female,no,African_American,.47583765,0,0
5801,no,-.26275212,no,no,Male,yes,African_American,.44470337,0,0
5642,no,.36965632,yes,no,Male,no,African_American,.44379586,0,0
5944,yes,-.47355494,no,no,Male,no,African_American,.46062744,0,1
4735,no,-.68435776,no,no,Male,no,African_American,.41936269,0,0
767,yes,-.0519493,no,no,Male,yes,African_American,.46880352,0,1
5003,no,-.68435776,no,no,Male,no,African_American,.40647036,0,0
1354,no,-.68435776,no,no,Male,no,African_American,.41739079,0,0
2530,yes,-.0519493,no,no,Female,no,African_American,.43479121,0,1
6081,no,-.68435776,no,no,Male,no,African_American,.41739079,0,0
3853,no,-.26275212,no,no,Female,no,African_American,.41568989,0,0
2031,no,-.68435776,no,no,Male,yes,African_American,.36721933,0,0
1731,no,-.68435776,yes,no,Male,no,African_American,.27089447,0,0
2883,yes,-.68435776,no,no,Female,yes,African_American,.27832747,0,1
4724,no,-.26275212,no,no,Male,no,African_American,.48751763,0,0
1840,no,-.68435776,no,no,Female,yes,African_American,.30418095,0,0
3850,no,-.47355494,no,yes,Female,yes,African_American,.47793043,0,0
4652,yes,-.47355494,no,no,Male,no,African_American,.45054832,0,1
866,no,-.68435776,yes,no,Female,no,African_American,.20275933,0,0
2381,yes,-.47355494,no,no,Male,no,African_American,.46062744,0,1
3028,no,-.26275212,no,no,Female,no,African_American,.41568989,0,0
4075,yes,-.47355494,no,no,Male,yes,African_American,.40184784,0,1
1695,yes,.36965632,yes,no,Male,no,African_American,.46894062,0,1
5071,no,-.47355494,no,no,Female,no,African_American,.37682724,0,0
4480,no,-.68435776,no,no,Male,yes,African_American,.35958323,0,0
379,yes,-.26275212,yes,no,Female,no,African_American,.26155001,0,1
3111,no,-.68435776,no,no,Male,no,African_American,.40647036,0,0
265,no,-.68435776,no,no,Male,no,African_American,.40647036,0,0
1114,yes,-.68435776,no,no,Male,no,African_American,.40647036,0,1
693,no,-.68435776,no,no,Male,yes,African_American,.36044151,0,0
1327,no,-.0519493,no,no,Male,yes,African_American,.48720026,0,0
474,no,-.0519493,yes,no,Male,yes,African_American,.31224442,0,0
4696,no,-.26275212,no,no,Male,no,African_American,.49370551,0,0
2086,no,-.68435776,no,no,Male,no,African_American,.41739079,0,0
3868,yes,-.47355494,no,no,Male,no,African_American,.45937833,0,1
892,no,-.26275212,no,no,Male,yes,African_American,.44554615,0,0
212,no,-.68435776,no,no,Male,no,African_American,.41522026,0,0
4060,no,-.47355494,no,no,Female,no,African_American,.37162089,0,0
2050,no,-.68435776,no,no,Female,yes,African_American,.27092603,0,0
6035,no,-.68435776,yes,no,Male,yes,African_American,.22375812,0,0
4545,yes,-.68435776,no,no,Male,no,African_American,.41936269,0,1
5210,no,-.0519493,no,no,Male,yes,African_American,.48839751,0,0
1875,no,-.68435776,no,no,Male,no,African_American,.41936269,0,0
3608,no,-.47355494,no,no,Male,no,African_American,.45937833,0,0
1177,no,-.68435776,no,no,Male,no,African_American,.40647036,0,0
5092,no,-.47355494,no,no,Male,no,African_American,.44663948,0,0
5192,yes,-.47355494,no,no,Male,no,African_American,.44663948,0,1
1785,yes,-.47355494,no,no,Male,no,African_American,.44663948,0,1
1185,no,-.68435776,no,no,Male,no,African_American,.4081226,0,0
5697,no,-.47355494,no,no,Male,yes,African_American,.40037635,0,0
2021,no,-.0519493,no,no,Male,yes,African_American,.48720026,0,0
2088,no,-.47355494,no,no,Male,yes,African_American,.40037635,0,0
2074,no,-.68435776,no,no,Female,no,African_American,.34031779,0,0
5549,no,-.47355494,no,no,Male,yes,African_American,.40184784,0,0
716,yes,-.47355494,no,no,Male,no,African_American,.46062744,0,1
2741,yes,-.0519493,yes,no,Male,no,African_American,.36872539,0,1
960,yes,-.47355494,no,no,Male,yes,African_American,.40616393,0,1
503,no,-.68435776,no,no,Male,yes,African_American,.36588952,0,0
3730,yes,-.68435776,no,no,Male,no,African_American,.41522026,0,1
